x,sin_x,ann_x
-12.475,0.181726,0.268776
-12.45,0.230646,0.26712
-12.425,0.278989,0.265467
-12.4,0.326635,0.263817
-12.375,0.373465,0.262169
-12.35,0.419361,0.260524
-12.325,0.464209,0.258881
-12.3,0.507897,0.257241
-12.275,0.550315,0.255604
-12.25,0.591358,0.25397
-12.225,0.630922,0.252338
-12.2,0.66891,0.250708
-12.175,0.705226,0.249082
-12.15,0.739779,0.247458
-12.125,0.772483,0.245837
-12.1,0.803256,0.244219
-12.075,0.832021,0.242603
-12.05,0.858707,0.240991
-12.025,0.883247,0.239381
-12,0.905578,0.237774
-11.975,0.925647,0.236169
-11.95,0.943401,0.234568
-11.925,0.958798,0.23297
-11.9,0.971798,0.231374
-11.875,0.98237,0.229782
-11.85,0.990486,0.228192
-11.825,0.996126,0.226605
-11.8,0.999276,0.225021
-11.775,0.999929,0.223441
-11.75,0.998082,0.221863
-11.725,0.993741,0.220288
-11.7,0.986916,0.218716
-11.675,0.977624,0.217148
-11.65,0.965888,0.215582
-11.625,0.951738,0.214019
-11.6,0.93521,0.21246
-11.575,0.916344,0.210904
-11.55,0.895187,0.209351
-11.525,0.871793,0.2078
-11.5,0.84622,0.206254
-11.475,0.818532,0.20471
-11.45,0.788798,0.20317
-11.425,0.757093,0.201632
-11.4,0.723495,0.200098
-11.375,0.688088,0.198568
-11.35,0.650962,0.19704
-11.325,0.612209,0.195516
-11.3,0.571926,0.193995
-11.275,0.530213,0.192478
-11.25,0.487175,0.190963
-11.225,0.442919,0.189452
-11.2,0.397556,0.187945
-11.175,0.351199,0.186441
-11.15,0.303965,0.18494
-11.125,0.25597,0.183443
-11.1,0.207336,0.181949
-11.075,0.158184,0.180459
-11.05,0.108637,0.178972
-11.025,0.0588175,0.177489
-11,0.00885131,0.176009
-10.975,-0.041137,0.174533
-10.95,-0.0910224,0.17306
-10.925,-0.14068,0.171591
-10.9,-0.189987,0.170125
-10.875,-0.238818,0.168663
-10.85,-0.287053,0.167205
-10.825,-0.33457,0.16575
-10.8,-0.38125,0.164299
-10.775,-0.426978,0.162851
-10.75,-0.471639,0.161408
-10.725,-0.515121,0.159968
-10.7,-0.557315,0.158531
-10.675,-0.598116,0.157099
-10.65,-0.637423,0.15567
-10.625,-0.675136,0.154245
-10.6,-0.711161,0.152824
-10.575,-0.745409,0.151406
-10.55,-0.777794,0.149992
-10.525,-0.808235,0.148583
-10.5,-0.836656,0.147177
-10.475,-0.862985,0.145775
-10.45,-0.887158,0.144376
-10.425,-0.909113,0.142982
-10.4,-0.928795,0.141592
-10.375,-0.946156,0.140205
-10.35,-0.961153,0.138823
-10.325,-0.973747,0.137445
-10.3,-0.983907,0.13607
-10.275,-0.991607,0.1347
-10.25,-0.99683,0.133333
-10.225,-0.999561,0.131971
-10.2,-0.999793,0.130613
-10.175,-0.997526,0.129258
-10.15,-0.992766,0.127908
-10.125,-0.985525,0.126562
-10.1,-0.975821,0.12522
-10.075,-0.963677,0.123883
-10.05,-0.949125,0.122549
-10.025,-0.9322,0.12122
-10,-0.912945,0.119895
-9.975,-0.891409,0.118574
-9.95,-0.867644,0.117257
-9.925,-0.841711,0.115944
-9.9,-0.813674,0.114636
-9.875,-0.783603,0.113332
-9.85,-0.751573,0.112033
-9.825,-0.717665,0.110737
-9.8,-0.681964,0.109446
-9.775,-0.644557,0.10816
-9.75,-0.60554,0.106877
-9.725,-0.565009,0.105599
-9.7,-0.523066,0.104326
-9.675,-0.479815,0.103057
-9.65,-0.435365,0.101792
-9.625,-0.389827,0.100532
-9.6,-0.343315,0.0992763
-9.575,-0.295944,0.098025
-9.55,-0.247834,0.0967783
-9.525,-0.199105,0.0955361
-9.5,-0.149877,0.0942983
-9.475,-0.100275,0.0930652
-9.45,-0.0504227,0.0918366
-9.425,-0.000444078,0.0906126
