x,sin_x,ann_x
-12.475,0.181726,0.0921223
-12.45,0.230646,0.091601
-12.425,0.278989,0.0910807
-12.4,0.326635,0.0905614
-12.375,0.373465,0.090043
-12.35,0.419361,0.0895257
-12.325,0.464209,0.0890094
-12.3,0.507897,0.0884941
-12.275,0.550315,0.0879798
-12.25,0.591358,0.0874665
-12.225,0.630922,0.0869543
-12.2,0.66891,0.086443
-12.175,0.705226,0.0859328
-12.15,0.739779,0.0854237
-12.125,0.772483,0.0849156
-12.1,0.803256,0.0844085
-12.075,0.832021,0.0839025
-12.05,0.858707,0.0833975
-12.025,0.883247,0.0828936
-12,0.905578,0.0823907
-11.975,0.925647,0.081889
-11.95,0.943401,0.0813882
-11.925,0.958798,0.0808886
-11.9,0.971798,0.08039
-11.875,0.98237,0.0798926
-11.85,0.990486,0.0793962
-11.825,0.996126,0.0789009
-11.8,0.999276,0.0784067
-11.775,0.999929,0.0779136
-11.75,0.998082,0.0774216
-11.725,0.993741,0.0769307
-11.7,0.986916,0.0764409
-11.675,0.977624,0.0759522
-11.65,0.965888,0.0754647
-11.625,0.951738,0.0749783
-11.6,0.93521,0.074493
-11.575,0.916344,0.0740089
-11.55,0.895187,0.0735258
-11.525,0.871793,0.073044
-11.5,0.84622,0.0725632
-11.475,0.818532,0.0720837
-11.45,0.788798,0.0716053
-11.425,0.757093,0.071128
-11.4,0.723495,0.0706519
-11.375,0.688088,0.070177
-11.35,0.650962,0.0697032
-11.325,0.612209,0.0692306
-11.3,0.571926,0.0687592
-11.275,0.530213,0.068289
-11.25,0.487175,0.0678199
-11.225,0.442919,0.0673521
-11.2,0.397556,0.0668854
-11.175,0.351199,0.06642
-11.15,0.303965,0.0659557
-11.125,0.25597,0.0654927
-11.1,0.207336,0.0650308
-11.075,0.158184,0.0645702
-11.05,0.108637,0.0641108
-11.025,0.0588175,0.0636526
-11,0.00885131,0.0631957
-10.975,-0.041137,0.0627399
-10.95,-0.0910224,0.0622855
-10.925,-0.14068,0.0618322
-10.9,-0.189987,0.0613802
-10.875,-0.238818,0.0609294
-10.85,-0.287053,0.0604799
-10.825,-0.33457,0.0600316
-10.8,-0.38125,0.0595846
-10.775,-0.426978,0.0591389
-10.75,-0.471639,0.0586944
-10.725,-0.515121,0.0582512
-10.7,-0.557315,0.0578093
-10.675,-0.598116,0.0573686
-10.65,-0.637423,0.0569292
-10.625,-0.675136,0.0564911
-10.6,-0.711161,0.0560543
-10.575,-0.745409,0.0556188
-10.55,-0.777794,0.0551846
-10.525,-0.808235,0.0547516
-10.5,-0.836656,0.05432
-10.475,-0.862985,0.0538897
-10.45,-0.887158,0.0534607
-10.425,-0.909113,0.053033
-10.4,-0.928795,0.0526066
-10.375,-0.946156,0.0521815
-10.35,-0.961153,0.0517578
-10.325,-0.973747,0.0513354
-10.3,-0.983907,0.0509143
-10.275,-0.991607,0.0504945
-10.25,-0.99683,0.0500761
-10.225,-0.999561,0.049659
-10.2,-0.999793,0.0492433
-10.175,-0.997526,0.0488289
-10.15,-0.992766,0.0484159
-10.125,-0.985525,0.0480042
-10.1,-0.975821,0.0475939
-10.075,-0.963677,0.047185
-10.05,-0.949125,0.0467774
-10.025,-0.9322,0.0463712
-10,-0.912945,0.0459663
-9.975,-0.891409,0.0455628
-9.95,-0.867644,0.0451608
-9.925,-0.841711,0.04476
-9.9,-0.813674,0.0443607
-9.875,-0.783603,0.0439628
-9.85,-0.751573,0.0435662
-9.825,-0.717665,0.0431711
-9.8,-0.681964,0.0427773
-9.775,-0.644557,0.042385
-9.75,-0.60554,0.041994
-9.725,-0.565009,0.0416045
-9.7,-0.523066,0.0412163
-9.675,-0.479815,0.0408296
-9.65,-0.435365,0.0404443
-9.625,-0.389827,0.0400604
-9.6,-0.343315,0.039678
-9.575,-0.295944,0.0392969
-9.55,-0.247834,0.0389173
-9.525,-0.199105,0.0385391
-9.5,-0.149877,0.0381624
-9.475,-0.100275,0.0377871
-9.45,-0.0504227,0.0374132
-9.425,-0.000444078,0.0370408
-9.4,0.0495356,0.0366698
-9.375,0.0993915,0.0363003
-9.35,0.148999,0.0359322
-9.325,0.198234,0.0355656
-9.3,0.246974,0.0352005
-9.275,0.295096,0.0348368
-9.25,0.342481,0.0344745
-9.225,0.389009,0.0341138
-9.2,0.434566,0.0337545
-9.175,0.479036,0.0333966
-9.15,0.522309,0.0330403
-9.125,0.564276,0.0326854
-9.1,0.604833,0.032332
-9.075,0.643878,0.0319801
-9.05,0.681314,0.0316297
-9.025,0.717047,0.0312807
-9,0.750987,0.0309333
-8.975,0.783051,0.0305873
-8.95,0.813157,0.0302428
-8.925,0.841231,0.0298999
-8.9,0.867202,0.0295584
-8.875,0.891006,0.0292184
-8.85,0.912582,0.02888
-8.825,0.931878,0.028543
-8.8,0.948844,0.0282076
-8.775,0.963439,0.0278736
-8.75,0.975626,0.0275412
-8.725,0.985374,0.0272103
-8.7,0.992659,0.026881
-8.675,0.997463,0.0265531
-8.65,0.999774,0.0262268
-8.625,0.999586,0.0259019
-8.6,0.9969,0.0255787
-8.575,0.991722,0.0252569
-8.55,0.984065,0.0249367
-8.525,0.973948,0.024618
-8.5,0.961397,0.0243009
-8.475,0.946444,0.0239853
-8.45,0.929124,0.0236712
-8.425,0.909482,0.0233587
-8.4,0.887567,0.0230477
-8.375,0.863433,0.0227383
-8.35,0.837142,0.0224304
-8.325,0.808758,0.022124
-8.3,0.778352,0.0218193
-8.275,0.746001,0.021516
-8.25,0.711785,0.0212144
-8.225,0.675791,0.0209142
-8.2,0.638107,0.0206157
-8.175,0.598828,0.0203187
-8.15,0.558052,0.0200233
-8.125,0.515882,0.0197294
-8.1,0.472422,0.0194371
-8.075,0.427781,0.0191464
-8.05,0.382071,0.0188573
-8.025,0.335407,0.0185697
-8,0.287903,0.0182837
-7.975,0.23968,0.0179992
-7.95,0.190859,0.0177164
-7.925,0.14156,0.0174351
-7.9,0.0919069,0.0171554
-7.875,0.0420244,0.0168773
-7.85,-0.00796318,0.0166008
-7.825,-0.0579308,0.0163258
-7.8,-0.107754,0.0160524
-7.775,-0.157307,0.0157807
-7.75,-0.206467,0.0155105
-7.725,-0.255112,0.0152419
-7.7,-0.303118,0.0149749
-7.675,-0.350367,0.0147095
-7.65,-0.396741,0.0144456
-7.625,-0.442122,0.0141834
-7.6,-0.486399,0.0139228
-7.575,-0.529459,0.0136638
-7.55,-0.571197,0.0134063
-7.525,-0.611507,0.0131505
-7.5,-0.650288,0.0128962
-7.475,-0.687444,0.0126436
-7.45,-0.722881,0.0123926
-7.425,-0.756512,0.0121431
-7.4,-0.788252,0.0118953
-7.375,-0.818022,0.0116491
-7.35,-0.845747,0.0114045
-7.325,-0.871358,0.0111615
-7.3,-0.894791,0.0109201
-7.275,-0.915988,0.0106803
-7.25,-0.934895,0.0104421
-7.225,-0.951466,0.0102055
-7.2,-0.965658,0.00997057
-7.175,-0.977436,0.00973722
-7.15,-0.986772,0.00950548
-7.125,-0.993641,0.00927535
-7.1,-0.998027,0.00904684
-7.075,-0.999918,0.00881994
-7.05,-0.999309,0.00859465
-7.025,-0.996203,0.00837098
-7,-0.990607,0.00814893
-6.975,-0.982535,0.00792848
-6.95,-0.972008,0.00770966
-6.925,-0.95905,0.00749245
-6.9,-0.943696,0.00727686
-6.875,-0.925982,0.00706288
-6.85,-0.905955,0.00685052
-6.825,-0.883663,0.00663978
-6.8,-0.859162,0.00643066
-6.775,-0.832514,0.00622315
-6.75,-0.803784,0.00601726
-6.725,-0.773046,0.00581299
-6.7,-0.740376,0.00561034
-6.675,-0.705855,0.0054093
-6.65,-0.66957,0.00520989
-6.625,-0.631611,0.00501209
-6.6,-0.592074,0.00481591
-6.575,-0.551056,0.00462134
-6.55,-0.508661,0.0044284
-6.525,-0.464995,0.00423707
-6.5,-0.420167,0.00404736
-6.475,-0.374289,0.00385926
-6.45,-0.327474,0.00367278
-6.425,-0.279842,0.00348792
-6.4,-0.23151,0.00330467
-6.375,-0.182599,0.00312304
-6.35,-0.133232,0.00294303
-6.325,-0.0835319,0.00276463
-6.3,-0.033623,0.00258784
-6.275,0.0163699,0.00241267
-6.25,0.0663219,0.00223911
-6.225,0.116108,0.00206716
-6.2,0.165604,0.00189683
-6.175,0.214686,0.0017281
-6.15,0.263232,0.00156099
-6.125,0.311119,0.00139548
-6.1,0.358229,0.00123159
-6.075,0.404444,0.0010693
-6.05,0.449647,0.00090862
-6.025,0.493727,0.000749546
-6,0.536573,0.000592078
-5.975,0.578077,0.000436214
-5.95,0.618137,0.000281953
-5.925,0.656652,0.000129294
-5.9,0.693525,-2.1763e-05
-5.875,0.728665,-0.00017122
-5.85,0.761984,-0.000319078
-5.825,0.793398,-0.000465339
-5.8,0.822829,-0.000610003
-5.775,0.850203,-0.000753072
-5.75,0.875452,-0.000894547
-5.725,0.898513,-0.00103443
-5.7,0.919329,-0.00117272
-5.675,0.937846,-0.00130942
-5.65,0.954019,-0.00144454
-5.625,0.967808,-0.00157806
-5.6,0.979178,-0.00171001
-5.575,0.9881,-0.00184037
-5.55,0.994553,-0.00196914
-5.525,0.998519,-0.00209634
-5.5,0.99999,-0.00222196
-5.475,0.998962,-0.002346
-5.45,0.995436,-0.00246847
-5.425,0.989423,-0.00258936
-5.4,0.980936,-0.00270869
-5.375,0.969998,-0.00282644
-5.35,0.956635,-0.00294263
-5.325,0.940881,-0.00305725
-5.3,0.922775,-0.00317031
-5.275,0.902363,-0.00328181
-5.25,0.879696,-0.00339175
-5.225,0.854829,-0.00350013
-5.2,0.827826,-0.00360696
-5.175,0.798754,-0.00371224
-5.15,0.767686,-0.00381597
-5.125,0.734698,-0.00391815
-5.1,0.699875,-0.00401878
-5.075,0.663302,-0.00411788
-5.05,0.625071,-0.00421543
-5.025,0.585277,-0.00431145
-5,0.544021,-0.00440593
-4.975,0.501405,-0.00449888
-4.95,0.457536,-0.0045903
-4.925,0.412523,-0.00468019
-4.9,0.366479,-0.00476856
-4.875,0.319519,-0.00485541
-4.85,0.271761,-0.00494074
-4.825,0.223323,-0.00502456
-4.8,0.174327,-0.00510686
-4.775,0.124895,-0.00518766
-4.75,0.0751511,-0.00526695
-4.725,0.0252194,-0.00534473
-4.7,-0.0247754,-0.00542102
-4.675,-0.0747083,-0.00549581
-4.65,-0.124454,-0.00556911
-4.625,-0.173889,-0.00564091
-4.6,-0.22289,-0.00571123
-4.575,-0.271333,-0.00578007
-4.55,-0.319098,-0.00584743
-4.525,-0.366066,-0.00591331
-4.5,-0.412118,-0.00597772
-4.475,-0.457141,-0.00604066
-4.45,-0.501021,-0.00610213
-4.425,-0.543648,-0.00616214
-4.4,-0.584917,-0.0062207
-4.375,-0.624724,-0.0062778
-4.35,-0.662969,-0.00633345
-4.325,-0.699557,-0.00638765
-4.3,-0.734397,-0.00644041
-4.275,-0.767401,-0.00649174
-4.25,-0.798487,-0.00654162
-4.225,-0.827577,-0.00659008
-4.2,-0.854599,-0.00663712
-4.175,-0.879484,-0.00668273
-4.15,-0.902172,-0.00672692
-4.125,-0.922604,-0.0067697
-4.1,-0.940731,-0.00681107
-4.075,-0.956506,-0.00685103
-4.05,-0.96989,-0.0068896
-4.025,-0.98085,-0.00692677
-4,-0.989358,-0.00696255
-3.975,-0.995394,-0.00699694
-3.95,-0.998941,-0.00702996
-3.925,-0.999992,-0.00706159
-3.9,-0.998543,-0.00709185
-3.875,-0.994599,-0.00712075
-3.85,-0.988168,-0.00714828
-3.825,-0.979268,-0.00717446
-3.8,-0.96792,-0.00719928
-3.775,-0.954152,-0.00722276
-3.75,-0.938,-0.00724489
-3.725,-0.919503,-0.00726569
-3.7,-0.898708,-0.00728515
-3.675,-0.875667,-0.00730329
-3.65,-0.850437,-0.00732011
-3.625,-0.823081,-0.00733561
-3.6,-0.793668,-0.00734981
-3.575,-0.762271,-0.00736269
-3.55,-0.728969,-0.00737428
-3.525,-0.693845,-0.00738457
-3.5,-0.656987,-0.00739358
-3.475,-0.618486,-0.0074013
-3.45,-0.57844,-0.00740775
-3.425,-0.536948,-0.00741293
-3.4,-0.494113,-0.00741684
-3.375,-0.450044,-0.00741949
-3.35,-0.40485,-0.00742089
-3.325,-0.358644,-0.00742104
-3.3,-0.311541,-0.00741996
-3.275,-0.26366,-0.00741764
-3.25,-0.21512,-0.00741409
-3.225,-0.166042,-0.00740931
-3.2,-0.116549,-0.00740332
-3.175,-0.066765,-0.00739613
-3.15,-0.0168139,-0.00738773
-3.125,0.0331792,-0.00737813
-3.1,0.0830894,-0.00736734
-3.075,0.132792,-0.00735538
-3.05,0.182163,-0.00734223
-3.025,0.231078,-0.00732791
-3,0.279415,-0.00731243
-2.975,0.327055,-0.0072958
-2.95,0.373877,-0.00727802
-2.925,0.419764,-0.00725909
-2.9,0.464602,-0.00723903
-2.875,0.508279,-0.00721784
-2.85,0.550686,-0.00719553
-2.825,0.591716,-0.0071721
-2.8,0.631267,-0.00714757
-2.775,0.66924,-0.00712194
-2.75,0.70554,-0.00709521
-2.725,0.740077,-0.00706741
-2.7,0.772764,-0.00703852
-2.675,0.80352,-0.00700856
-2.65,0.832267,-0.00697755
-2.625,0.858934,-0.00694548
-2.6,0.883455,-0.00691236
-2.575,0.905767,-0.0068782
-2.55,0.925815,-0.00684301
-2.525,0.943549,-0.0068068
-2.5,0.958924,-0.00676957
-2.475,0.971903,-0.00673133
-2.45,0.982453,-0.00669209
-2.425,0.990547,-0.00665187
-2.4,0.996165,-0.00661065
-2.375,0.999293,-0.00656847
-2.35,0.999923,-0.00652531
-2.325,0.998054,-0.0064812
-2.3,0.993691,-0.00643614
-2.275,0.986844,-0.00639013
-2.25,0.97753,-0.00634319
-2.225,0.965773,-0.00629533
-2.2,0.951602,-0.00624654
-2.175,0.935053,-0.00619685
-2.15,0.916166,-0.00614626
-2.125,0.894989,-0.00609478
-2.1,0.871576,-0.00604242
-2.075,0.845984,-0.00598919
-2.05,0.818277,-0.00593508
-2.025,0.788525,-0.00588013
-2,0.756802,-0.00582432
-1.975,0.723188,-0.00576768
-1.95,0.687766,-0.00571021
-1.925,0.650625,-0.00565192
-1.9,0.611858,-0.00559282
-1.875,0.571561,-0.00553292
-1.85,0.529836,-0.00547223
-1.825,0.486787,-0.00541075
-1.8,0.44252,-0.0053485
-1.775,0.397148,-0.00528549
-1.75,0.350783,-0.00522172
-1.725,0.303542,-0.00515721
-1.7,0.255541,-0.00509196
-1.675,0.206902,-0.00502598
-1.65,0.157746,-0.00495929
-1.625,0.108195,-0.00489189
-1.6,0.0583741,-0.00482379
-1.575,0.00840725,-0.00475501
-1.55,-0.0415807,-0.00468555
-1.525,-0.0914646,-0.00461542
-1.5,-0.14112,-0.00454463
-1.475,-0.190423,-0.00447319
-1.45,-0.239249,-0.00440112
-1.425,-0.287478,-0.00432841
-1.4,-0.334988,-0.00425509
-1.375,-0.381661,-0.00418116
-1.35,-0.42738,-0.00410663
-1.325,-0.472031,-0.00403152
-1.3,-0.515501,-0.00395582
-1.275,-0.557684,-0.00387956
-1.25,-0.598472,-0.00380274
-1.225,-0.637765,-0.00372537
-1.2,-0.675463,-0.00364747
-1.175,-0.711473,-0.00356904
-1.15,-0.745705,-0.00349009
-1.125,-0.778073,-0.00341064
-1.1,-0.808496,-0.00333069
-1.075,-0.836899,-0.00325026
-1.05,-0.863209,-0.00316935
-1.025,-0.887362,-0.00308798
