x,sin_x,ann_x
-0.95,-0.9463,-1.23115
-0.9,-0.973848,-1.16951
-0.85,-0.991665,-1.10742
-0.8,-0.999574,-1.04492
-0.75,-0.997495,-0.982014
-0.7,-0.98545,-0.918734
-0.65,-0.963558,-0.855102
-0.6,-0.932039,-0.791141
-0.55,-0.891207,-0.726876
-0.5,-0.841471,-0.662333
-0.45,-0.783327,-0.597536
-0.4,-0.717356,-0.532513
-0.35,-0.644218,-0.46729
-0.3,-0.564642,-0.401895
-0.25,-0.479426,-0.336356
-0.2,-0.389418,-0.2707
-0.15,-0.29552,-0.204955
-0.1,-0.198669,-0.139151
-0.05,-0.0998334,-0.073316
3.19189e-16,6.38378e-16,-0.00747816
0.05,0.0998334,0.0583336
0.1,0.198669,0.124091
0.15,0.29552,0.189765
0.2,0.389418,0.255327
0.25,0.479426,0.32075
0.3,0.564642,0.386006
0.35,0.644218,0.451068
0.4,0.717356,0.515908
0.45,0.783327,0.5805
0.5,0.841471,0.644819
0.55,0.891207,0.708839
0.6,0.932039,0.772534
0.65,0.963558,0.835883
0.7,0.98545,0.89886
0.75,0.997495,0.961444
0.8,0.999574,1.02361
0.85,0.991665,1.08534
0.9,0.973848,1.14662
0.95,0.9463,1.20742
1,0.909297,1.26773
